Layer	Study	(NP80/NG80)	Batch_ID	GC Bias	Gene Length Bias	NG80	NP80	Phenotype_Processed	Platelet Score	RNA Degradation (3' Bias)	Sample Volume (mL)	Spliced Reads (%)	Total Centrifugation Force (g)	gDNA Contamination (Intron/Exon)	log(Total Reads)	rRNA Fraction
Salmon(Length Scaled)	Chen et al.	0.029243684103583023	0.0	0.0025588896100107172	0.0006001047224979406	0.0	0.008594567095734917	0.012249359776343116	0.04857376209129094	0.0016594189892715772	0.008002869938167567	0.02574714800301714	0.0	0.0001835005468882045	0.20865727201912287	0.0
Salmon(Length Scaled)	Gardella et al.	0.00016103175006854098	0.026134511631548896	0.015016608526162156	0.004115206579618502	0.0002740514414750761	0.006335544522886982	0.00021333308766002812	0.006460825140849891	0.039703009815192924	0.0006359701739592216	0.05412363619073701	0.0006359701739587775	0.008882403336619493	0.14940198483422618	0.0
Salmon(Length Scaled)	Moore et al.	0.0026330905604964316	0.018398301693237196	0.0008352664435213875	0.01695693530392084	0.004565621803197084	0.016621113469790894	0.0	0.016112021235785257	0.016304081474753263	0.0	0.025361252856807237	0.011155101822416524	0.0016414272450768763	0.21504145325900126	0.00107650828872341
Salmon(Length Scaled)	Moufarrej et al.	0.02758864587094767	0.00650160117355203	0.003194500391343502	0.0	0.0005479015503507823	0.006360925013405461	0.00027129011686832794	0.012460226930858687	0.0	0.0	0.024231458834423347	0.0	0.005994261905013509	0.07819999469922345	0.0032622448862379416
Salmon(Length Scaled)	Roskams-Hieter B et al.	0.018825150524560352	0.0	0.002854034093389912	0.0	0.003254202266582129	0.0	0.011918754127070885	0.015740554494994563	0.01394439359810673	0.0	0.016699864546681598	0.0	0.014493769726980132	0.06986183260122336	0.0014945993231926247
Salmon(Length Scaled)	Toden et al.	0.003825448009277088	0.006447897833309679	0.0053913976896983185	0.008686587575748805	0.0	0.0012519345081345445	0.010903213772573861	0.02529152135572288	0.008334736538077592	0.0038316858042347635	0.00752982069803132	0.0038316858042347635	0.0022806094187014514	0.2787247204088642	0.00030563924285931243
Salmon(Length Scaled)	Ward Z et al.	0.014661532746247596		0.001457665244511408	0.00022484502497421843	0.006588871963528642	0.0014086986861580053	0.0012604881142238566	0.0014908044142074584	0.0025943489530178	0.0	0.051519436366713856	0.0	0.033100370415254377	0.22408013869031573	0.00047026611676304064
Salmon(Scaled)	Chalasani et al.	0.00045329562640161747		0.0034041387460430617	0.002425671961693965	0.0006106128559482116	0.0009801328710261625	0.0018442652100907342	0.014810274663434209	0.0030877436344993736	0.0	0.007735596583140936	0.0	0.00366865106567571	0.28165965975899343	1.7794434972406847e-05
Salmon(Scaled)	Chang et al.	0.001490576931353238	0.031990988046550095	0.001600470674807175	0.0022536520909056668	0.0	0.004948663736075498	0.0	0.005615980463087866	0.0	0.0	0.003739842367831203	0.0	0.005886683813558502	0.08571508121072502	0.0
Salmon(Scaled)	Chen et al.	0.017694016680975366	0.0019721088014710286	0.007565447098652922	0.0	0.001091317001067127	0.011704015174901272	0.01086071260410626	0.039806091285633505	0.0	0.012882484231580893	0.01909385569349631	0.0	0.0017447343120244874	0.19035041997339697	0.002218065639052913
